Metric,Year,RawValue,Trend,PearsonCorr,SpearmanCorr,Score,Category
tiktok_users_age_18_29,2022,0.45,0.0714285714285715,0.09104374554047844,0.09999999999999999,0.09104374554047844,SocialMedia
tiktok_users_age_18_29,2024,0.62,0.3777777777777777,0.09104374554047844,0.09999999999999999,0.09104374554047844,SocialMedia
tiktok_users_total,2014,0.0,0.0,0.11926757569244054,0.49999999999999994,0.11926757569244054,SocialMedia
tiktok_users_total,2016,10000000.0,,0.11926757569244054,0.49999999999999994,0.11926757569244054,SocialMedia
tiktok_users_total,2018,500000000.0,49.0,0.11926757569244054,0.49999999999999994,0.11926757569244054,SocialMedia
tiktok_users_total,2020,689000000.0,0.378,0.11926757569244054,0.49999999999999994,0.11926757569244054,SocialMedia
tiktok_users_total,2022,1050000000.0,0.5239477503628447,0.11926757569244054,0.49999999999999994,0.11926757569244054,SocialMedia
tiktok_users_total,2024,1580000000.0,0.5047619047619047,0.11926757569244054,0.49999999999999994,0.11926757569244054,SocialMedia
turnout_rate,2014,0.367,0.0,0.9999999999999999,1.0,0.9999999999999999,Election
turnout_rate,2016,11.7,30.880108991825608,0.9999999999999999,1.0,0.9999999999999999,Election
turnout_rate,2018,12.8,0.09401709401709414,0.9999999999999999,1.0,0.9999999999999999,Election
turnout_rate,2020,6.1,-0.5234375,0.9999999999999999,1.0,0.9999999999999999,Election
turnout_rate,2022,12.5,1.0491803278688525,0.9999999999999999,1.0,0.9999999999999999,Election
turnout_rate,2024,0.623,-0.95016,0.9999999999999999,1.0,0.9999999999999999,Election
voters_age_18_29,2014,9200000.0,0.0,0.7251297902972594,-0.14285714285714288,0.7251297902972594,Election
voters_age_18_29,2016,24000000.0,1.608695652173913,0.7251297902972594,-0.14285714285714288,0.7251297902972594,Election
voters_age_18_29,2018,16000000.0,-0.3333333333333333,0.7251297902972594,-0.14285714285714288,0.7251297902972594,Election
voters_age_18_29,2020,27000000.0,0.6875,0.7251297902972594,-0.14285714285714288,0.7251297902972594,Election
voters_age_18_29,2022,14000000.0,-0.48148148148148145,0.7251297902972594,-0.14285714285714288,0.7251297902972594,Election
voters_age_18_29,2024,25000000.0,0.7857142857142857,0.7251297902972594,-0.14285714285714288,0.7251297902972594,Election
voters_age_30_44,2014,18500000.0,0.0,0.6011697469110481,-0.14285714285714288,0.6011697469110481,Election
voters_age_30_44,2016,32000000.0,0.7297297297297297,0.6011697469110481,-0.14285714285714288,0.6011697469110481,Election
voters_age_30_44,2018,26000000.0,-0.1875,0.6011697469110481,-0.14285714285714288,0.6011697469110481,Election
voters_age_30_44,2020,37000000.0,0.4230769230769231,0.6011697469110481,-0.14285714285714288,0.6011697469110481,Election
voters_age_30_44,2022,24000000.0,-0.35135135135135137,0.6011697469110481,-0.14285714285714288,0.6011697469110481,Election
voters_age_30_44,2024,35000000.0,0.4583333333333333,0.6011697469110481,-0.14285714285714288,0.6011697469110481,Election
voters_age_45_64,2014,35000000.0,0.0,-0.23562071770855167,-0.6571428571428573,0.23562071770855167,Election
voters_age_45_64,2016,4575.2016,-0.9998692799542858,-0.23562071770855167,-0.6571428571428573,0.23562071770855167,Election
voters_age_45_64,2018,0.7,-0.9998470012774957,-0.23562071770855167,-0.6571428571428573,0.23562071770855167,Election
voters_age_45_64,2020,0.8,0.142857142857143,-0.23562071770855167,-0.6571428571428573,0.23562071770855167,Election
voters_age_45_64,2022,590.0,736.5,-0.23562071770855167,-0.6571428571428573,0.23562071770855167,Election
voters_age_45_64,2024,53000000.0,89829.50847457627,-0.23562071770855167,-0.6571428571428573,0.23562071770855167,Election
voters_age_65_plus,2014,20000000.0,0.0,-0.30495235327715353,0.028571428571428574,0.30495235327715353,Election
voters_age_65_plus,2016,6585.2016,-0.99967073992,-0.30495235327715353,0.028571428571428574,0.30495235327715353,Election
voters_age_65_plus,2018,16657.0,1.5294593866344197,-0.30495235327715353,0.028571428571428574,0.30495235327715353,Election
voters_age_65_plus,2020,0.8,-0.9999519721438435,-0.30495235327715353,0.028571428571428574,0.30495235327715353,Election
